Course Name,Code,Acronym,Course Organiser,Course Secretary,Semester,Credits,Course info notes,Live this year? 2022/23,2023/24,(Predicted) Student Numbers,Group Size (max),Number of Tutorial Groups,Tutor Hrs p/w,No of weeks,No ST Required,Super Tutor contact hrs for 1 session,Super Tutor Multiplier,No T Required,Tutor contact hrs for 1 session,Tutor marking multiplier,Tutor Marking Hours,Hours Required,NYT,Frequency
Accelerated Algebra and Calculus for Direct Entry,MATH08062,AAC,NIKOLAOS BOURNAVEAS,mdelane1,Semester 1,20,,y,,60,12,5,2,10,2,20,1,5,20,2,20,240,2,Weekly
Accelerated Proofs and Problem Solving,MATH08071,APPS,Milena Hering,mdelane1,Semester 1,10,,y,,80,12,7,1,10,2,10,1,7,10,2,10,153,2,Weekly
Advanced Methods of Applied Mathematics,MATH10086,AMAM,Adri Olde Daalhuis,alisonf,Semester 2,20,,y,,90,15,6,1,10,0,10,1,6,10,2.5,15,150,4,Weekly
Algebraic Geometry,MATH11120,AG,IVAN CHELTSOV,alisonf,Semester 2,10,,y,,38,15,3,1,5,0,5,1,3,5,3,10,38,5,Even
Algebraic Topology,MATH10077,ATop,Jonathan Pridham,alisonf,Semester 2,10,,y,,30,15,2,1,5,0,5,1,2,5,3,10,30,4,odd
Algebraic Geometry - SMSTC,MATH11107,P_ATOP,SMSTC,lcaudrey,Semester 2,0,,Y,,,12,0,1,10,0,0,1,1,10,1,0,10,,Weekly
Algebras and Representation Theory,MATH11108,P_ART,SMSTC,lcaudrey,Semester 2,0,,Y,,,12,0,1,10,0,0,1,1,10,1,0,10,,Weekly
Analytic Number Theory,MATH11226,ANT,JIM WRIGHT,mdelane1,Semester 1,,,,,50,15,3,1,5,0,5,1,3,5,2,5,33,5,Even
Applied Dynamical Systems,MATH11140,ADS,Jacob Page,alisonf,Semester 2,10,,y,,59,15,4,1,5,0,5,1,4,5,3,10,59,5,Even
Applied Statistics,MATH10096,Asta,Vanda Fernandes Inacio De Carvalho,alisonf,Semester 2,10,NOT RUNNING,N,Y,131,15,9,1,5,2,5,1,9,5,3,10,141,,Even
Applied Stochastic Differential Equations,MATH10053,ASDE,Kostas Zygalakis,alisonf,Semester 1,10,,y,,70,15,5,1,6,0,6,1,5,6,2,6,56,4,Odd
